Region,Site,Lat,Long
Southern,Tai Tam,22.23747,114.228768
Southern,Middle Bay,22.229341,114.196719
Southern,Wah Fu,22.252755,114.132032
Southern,Shek O,22.228654,114.256312
North Western,Lung Kwu Tan,22.39235,113.916341
North Western,Siu Lam,22.362569,114.010387
North Western,Luk Keng,22.334386,114.023466
North Western,Tai O,22.25717,113.853147
South Western,Tai Long Wan,22.217226,113.881521
South Western,Pui O,22.234889,113.980862
South Western,Shui Tseng,22.250167,114.006664
South Western,Peng Chau,22.283164,114.046964
Eastern,Pak Shui Wun,22.339896,114.26645
Eastern,Kau Sai Chau,22.379497,114.310037
Eastern,Pak Lap,22.350915,114.359436
Eastern,Sai Wan,22.398305,114.375361
Tolo Habour,Starfish Bay,22.436252,114.247089
Tolo Habour,Tseng Tau,22.43353,114.26864
Tolo Habour,Lai Chi Chong,22.456633,114.299452
Tolo Habour,Ma Shi Chau,22.457043,114.234516
North Eastern,Yung Shue Au,22.549436,114.247157
North Eastern,Double Island,22.518246,114.319541
North Eastern,Hung Shek Mun,22.501269,114.301425
North Eastern,Kat O,22.551031,114.297222
